model,loss,perplexity,similarity,mmd,%_cpp,mean_raw_efficiency
base_model,5.8237,373.4553,19.9,0.392863,3.42,49.5518
prefix_model_v1_active_learning_3500_ends_no_overlap_seed_temp_1_rep_1_0,2.375,151.3533,,0.138374,47.09,
prefix_model_v1_active_learning_3500_ends_no_overlap_seed_temp_1_rep_1_0_first,2.375,151.3533,,0.138374,47.09,
prefix_model_v1_active_learning_3500_ends_no_overlap_seed_temp_1_rep_1_15,3.126,353.4354,,0.115498,49.37,
prefix_model_v1_active_learning_3500_ends_no_overlap_seed_temp_1_rep_1_1,2.746,243.0449,,0.122948,50.13,
prefix_model_v1_active_learning_3500_ends_no_overlap_seed_temp_1_rep_1_25,4.2597,2567.9636,,0.151457,49.26,
prefix_model_v1_active_learning_3500_ends_no_overlap_seed_temp_1_rep_1_2,3.6574,759.8752,,0.133542,49.63,
prefix_model_v1_active_learning_3500_ends_no_overlap_seed_temp_1_rep_1_3,4.9846,2760.285,,0.179363,46.82,
prefix_model_v1_active_learning_3500_ends_no_overlap_seed_temp_1_rep_1_4,6.1752,5863.4214,,0.241507,47.73,
prefix_model_v1_active_learning_3500_ends_no_overlap_seed_temp_1_rep_1_5,7.1077,9484.4384,,0.296423,49.64,
prefix_model_v1_active_learning_3500_ends_no_overlap_seed_temp_1_rep_1_6,7.8376,12466.7768,,0.336398,61.11,
prefix_model_v1_active_learning_3500_ends_no_overlap_seed_temp_1_rep_1_7,8.1019,13728.3225,,0.352908,70.03,
prefix_model_v1_active_learning_3500_ends_no_overlap_seed_temp_1_rep_1_8,8.1977,14039.7327,,0.364107,77.68,
prefix_model_v1_active_learning_3500_ends_no_overlap_seed_temp_1_rep_1_9,8.2976,14151.357,,0.364022,82.16,
prefix_model_v1_active_learning_3500_ends_no_overlap_seed_temp_1_rep_2_0,8.3075,13828.8546,,0.367636,83.18,
soft_prompt_model_v2_active_learning_3500_ends_no_overlap_seed_temp_1_rep_1_0,5.7355,509.5733,,0.241054,48.22,
soft_prompt_model_v2_active_learning_3500_ends_no_overlap_seed_temp_1_rep_1_15,5.5145,384.3764,,0.2664,53.67,
soft_prompt_model_v2_active_learning_3500_ends_no_overlap_seed_temp_1_rep_1_1,5.6259,436.741,,0.246684,52.45,
soft_prompt_model_v2_active_learning_3500_ends_no_overlap_seed_temp_1_rep_1_25,5.3271,311.8925,,0.331023,53.7,
soft_prompt_model_v2_active_learning_3500_ends_no_overlap_seed_temp_1_rep_1_2,5.4168,347.3964,,0.297464,54.4,
soft_prompt_model_v2_active_learning_3500_ends_no_overlap_seed_temp_1_rep_1_3,5.265,276.7393,,0.364867,53.56,
soft_prompt_model_v2_active_learning_3500_ends_no_overlap_seed_temp_1_rep_1_4,5.2079,239.3947,,0.416642,57.69,
soft_prompt_model_v2_active_learning_3500_ends_no_overlap_seed_temp_1_rep_1_5,5.1941,222.7387,,0.448016,61.65,
soft_prompt_model_v2_active_learning_3500_ends_no_overlap_seed_temp_1_rep_1_6,5.1873,204.5017,,0.469518,64.01,
soft_prompt_model_v2_active_learning_3500_ends_no_overlap_seed_temp_1_rep_1_7,5.1775,197.6637,,0.480933,65.97,
soft_prompt_model_v2_active_learning_3500_ends_no_overlap_seed_temp_1_rep_1_8,5.1783,195.8152,,0.484743,67.13,
soft_prompt_model_v2_active_learning_3500_ends_no_overlap_seed_temp_1_rep_1_9,5.1755,194.0337,,0.486911,67.35,
soft_prompt_model_v2_active_learning_3500_ends_no_overlap_seed_temp_1_rep_2_0,5.1757,193.9284,,0.488483,67.77,
