,Percentage of AA valid (%),Percentage of CPP among AA valid (%),Total percentage of CPP (%),Set size (unique),Median of inner pairwise normalized Levenshtein distance,Percentage of unique (%),Normalized Shannon entropy (AA),sqrt(JSD) by length,sqrt(JSD) by AA,Coverage <= 0.2,Median of minimal Levenshtein distance to the nearest neighbour among real CPPs,Novelty (relative to training (Generator)),Loss,MMD
"Prefix, rep. = 1.00",88.71428571428571,47.085346215781,41.77142857142857,749,0.8181818181818182,56.36114911080711,0.7967611878526191,0.3407040164248192,0.2420562877093131,0.16253869969040247,0.3333333333333333,91.2621359223301,2.375,0.138374
"Prefix, rep. = 1.10",85.42857142857143,50.13377926421405,42.82857142857143,835,0.8297872340425532,60.64042695130087,0.8155484084816325,0.3946469830654873,0.22399384884412138,0.16795665634674922,0.375,92.07920792079207,2.746,0.122948
"Prefix, rep. = 1.15",79.34285714285714,49.36982355059417,39.17142857142857,821,0.8292682926829268,64.47848285922684,0.8309031125260088,0.4259306336009664,0.182888121880185,0.1540247678018576,0.391304347826087,93.09954751131222,3.126,0.115498
"Prefix, rep. = 1.20",69.14285714285714,49.62809917355372,34.31428571428572,755,0.8235294117647058,67.02747710241465,0.8400063007936668,0.43147288765446784,0.1635487790399958,0.13312693498452013,0.4,93.91304347826087,3.6574,0.133542
"Prefix, rep. = 1.25",59.8,49.259436215957955,29.457142857142856,646,0.8275862068965517,66.44034917555771,0.8488947034665387,0.4861324043503286,0.14702227022090228,0.13622291021671826,0.44590643274853803,94.30656934306569,4.2597,0.151457
"Prefix, rep. = 1.30",48.457142857142856,46.81603773584906,22.685714285714287,493,0.8333333333333334,67.12846347607054,0.8598121157900712,0.5471972574158259,0.1436157212420224,0.0998452012383901,0.4791666666666667,92.4953095684803,4.9846,0.179363
"Prefix, rep. = 1.40",32.02857142857143,47.72524531668154,15.285714285714286,349,0.8367346938775511,68.78504672897196,0.8690602384939544,0.6499024666163113,0.1277953528677329,0.07120743034055728,0.5909090909090909,94.83695652173913,6.1752,0.241507
"Prefix, rep. = 1.50",19.8,49.63924963924964,9.82857142857143,243,0.8380281690140845,73.83720930232558,0.8743283816992508,0.7506762559406353,0.12018203588048915,0.02476780185758514,0.704225352112676,95.66929133858268,7.1077,0.296423
"Prefix, rep. = 1.60",11.314285714285715,61.111111111111114,6.914285714285715,206,0.8187919463087249,89.25619834710744,0.869367421443947,0.8938819219480687,0.12595481411913298,0.032507739938080496,0.7408739674926725,95.37037037037037,7.8376,0.336398
"Prefix, rep. = 1.70",8.485714285714286,70.03367003367003,5.942857142857143,195,0.8068965517241379,96.15384615384616,0.864447163974638,0.9573581215302697,0.12869899018475384,0.01780185758513932,0.75,97.5,8.1019,0.352908
"Prefix, rep. = 1.80",6.6571428571428575,77.6824034334764,5.171428571428572,169,0.8098591549295775,94.47513812154696,0.8755019132722817,0.9903828896272671,0.1232010842653363,0.0015479876160990713,0.7608695652173914,98.83040935672514,8.1977,0.364107
"Prefix, rep. = 1.90",6.085714285714285,82.15962441314554,5.0,171,0.8085106382978723,98.28571428571429,0.8677561323364795,0.994391837105229,0.1264797426388641,0.0,0.7571428571428571,99.4186046511628,8.2976,0.364022
"Prefix, rep. = 2.00",6.285714285714286,83.18181818181819,5.228571428571429,182,0.8125,100.0,0.8755247664390996,0.9946597800793602,0.12039090568018115,0.0,0.7591240875912408,99.4535519125683,8.3075,0.367636
"Soft-Prompt, rep. = 1.00",88.88571428571429,48.216007714561236,42.857142857142854,1483,0.9166666666666666,99.0,0.8546043400192306,0.25534219116500606,0.23145783120034075,0.048761609907120744,0.47058823529411764,99.86531986531986,5.7355,0.241054
"Soft-Prompt, rep. = 1.10",80.34285714285714,52.453769559032715,42.142857142857146,1472,0.8955223880597015,99.86440677966101,0.8410772035723422,0.2593897657687785,0.24269564958825418,0.04179566563467492,0.5,99.93211133740665,5.6259,0.246684
"Soft-Prompt, rep. = 1.15",70.91428571428571,53.66639806607574,38.05714285714286,1329,0.8947368421052632,99.84984984984985,0.8513844498730574,0.3040262547801814,0.25021500819277664,0.023993808049535603,0.5,99.92481203007519,5.5145,0.2664
"Soft-Prompt, rep. = 1.20",60.08571428571429,54.39847836424156,32.68571428571428,1141,0.9016393442622951,99.82517482517483,0.8504896735395714,0.36421326612704963,0.2735689430332585,0.021671826625386997,0.5333333333333333,99.91243432574431,5.4168,0.297464
"Soft-Prompt, rep. = 1.25",49.371428571428574,53.7037037037037,26.514285714285716,926,0.912751677852349,99.89224137931035,0.8498137098352179,0.4248486970710921,0.2857506638135316,0.01934984520123839,0.5714285714285714,99.89212513484358,5.3271,0.331023
"Soft-Prompt, rep. = 1.30",39.68571428571428,53.563714902807774,21.257142857142856,743,0.9158878504672897,100.0,0.8467234121037442,0.49104634751020615,0.3081319545480882,0.01780185758513932,0.5882352941176471,99.86559139784946,5.265,0.364867
"Soft-Prompt, rep. = 1.40",26.942857142857143,57.6882290562036,15.542857142857143,544,0.9126984126984127,100.0,0.8523574864189138,0.6201075234279735,0.3151945302497581,0.003869969040247678,0.6774604793472718,100.0,5.2079,0.416642
"Soft-Prompt, rep. = 1.50",20.485714285714284,61.64574616457462,12.628571428571428,442,0.9084507042253521,100.0,0.8653492611281236,0.7320645267120364,0.31138455887958516,0.0015479876160990713,0.7449518905000677,100.0,5.1941,0.448016
"Soft-Prompt, rep. = 1.60",17.228571428571428,64.01326699834162,11.028571428571428,386,0.8918918918918919,100.0,0.8648361000703019,0.8213100417043512,0.3096388196944681,0.0,0.7643084622383985,100.0,5.1873,0.469518
"Soft-Prompt, rep. = 1.70",15.114285714285714,65.97353497164461,9.971428571428572,349,0.8723404255319149,100.0,0.8657539301191192,0.9066033200971577,0.3078324695455423,0.0,0.7816901408450704,100.0,5.1775,0.480933
